Variant: 5
Itr|    z(0)|    y(0)|               Delta
   1|  0.00000|  1.97462|  2.53810503131e-02|
   2|  3.00000|  2.05080|  5.08046047974e-02|
   3|  1.50000|  2.01270|  1.26958425844e-02|
   4|  0.75000|  1.99365|  6.34659236805e-03|
   5|  1.12500|  2.00317|  3.17362847879e-03|
   6|  0.93750|  1.99841|  1.58673117082e-03|
   7|  1.03125|  2.00079|  7.93386355621e-04|
   8|  0.98438|  1.99960|  3.96687983238e-04|
   9|  1.00781|  2.00020|  1.98345292416e-04|
  10|  0.99609|  1.99990|  9.91723188759e-05|

       x|    y(x)|     Ypr|    z(x)|             Delta|
  0.00000|  1.00000|  1.00000|  0.99609|  0.00000000000e+00|
  0.00625|  1.00623|  1.00625|  0.99901|  2.15964154846e-05|
  0.01250|  1.01250|  1.01253|  1.00562|  3.83911007877e-05|
  0.01875|  1.01881|  1.01886|  1.01568|  5.14323730179e-05|
  0.02500|  1.02520|  1.02526|  1.02892|  6.15443635705e-05|
  0.03125|  1.03168|  1.03175|  1.04509|  6.93738983044e-05|
  0.03750|  1.03827|  1.03834|  1.06393|  7.54278114330e-05|
  0.04375|  1.04498|  1.04506|  1.08519|  8.01025933013e-05|
  0.05000|  1.05184|  1.05192|  1.10865|  8.37079059572e-05|
  0.05625|  1.05884|  1.05893|  1.13405|  8.64852023728e-05|
  0.06250|  1.06602|  1.06610|  1.16118|  8.86224431889e-05|
  0.06875|  1.07336|  1.07345|  1.18981|  9.02657087161e-05|
  0.07500|  1.08089|  1.08098|  1.21972|  9.15283453020e-05|
  0.08125|  1.08861|  1.08870|  1.25072|  9.24981571311e-05|
  0.08750|  1.09653|  1.09662|  1.28260|  9.32430513663e-05|
  0.09375|  1.10464|  1.10474|  1.31518|  9.38154616112e-05|
  0.10000|  1.11297|  1.11306|  1.34826|  9.42558080885e-05|
  0.10625|  1.12150|  1.12159|  1.38167|  9.45951996549e-05|
  0.11250|  1.13024|  1.13033|  1.41525|  9.48575401480e-05|
  0.11875|  1.13919|  1.13928|  1.44883|  9.50611675476e-05|
  0.12500|  1.14835|  1.14844|  1.48226|  9.52201273978e-05|
  0.13125|  1.15772|  1.15781|  1.51539|  9.53451603936e-05|
  0.13750|  1.16729|  1.16739|  1.54809|  9.54444669794e-05|
  0.14375|  1.17707|  1.17716|  1.58022|  9.55242982965e-05|
  0.15000|  1.18704|  1.18714|  1.61166|  9.55894121419e-05|
  0.15625|  1.19721|  1.19731|  1.64230|  9.56434241646e-05|
  0.16250|  1.20757|  1.20766|  1.67201|  9.56890779142e-05|
  0.16875|  1.21811|  1.21820|  1.70070|  9.57284521403e-05|
  0.17500|  1.22882|  1.22892|  1.72827|  9.57631196414e-05|
  0.18125|  1.23971|  1.23981|  1.75464|  9.57942687940e-05|
  0.18750|  1.25076|  1.25085|  1.77970|  9.58227963592e-05|
  0.19375|  1.26195|  1.26205|  1.80339|  9.58493782430e-05|
  0.20000|  1.27329|  1.27339|  1.82564|  9.58745233510e-05|
  0.20625|  1.28477|  1.28487|  1.84637|  9.58986145068e-05|
  0.21250|  1.29637|  1.29647|  1.86554|  9.59219394938e-05|
  0.21875|  1.30809|  1.30818|  1.88308|  9.59447145514e-05|
  0.22500|  1.31991|  1.32000|  1.89894|  9.59671021492e-05|
  0.23125|  1.33182|  1.33192|  1.91309|  9.59892243884e-05|
  0.23750|  1.34382|  1.34391|  1.92548|  9.60111731048e-05|
  0.24375|  1.35588|  1.35598|  1.93608|  9.60330174640e-05|
  0.25000|  1.36801|  1.36811|  1.94487|  9.60548096616e-05|
  0.25625|  1.38019|  1.38029|  1.95182|  9.60765891995e-05|
  0.26250|  1.39241|  1.39250|  1.95692|  9.60983860816e-05|
  0.26875|  1.40465|  1.40474|  1.96015|  9.61202232033e-05|
  0.27500|  1.41690|  1.41700|  1.96151|  9.61421181300e-05|
  0.28125|  1.42916|  1.42926|  1.96099|  9.61640844237e-05|
  0.28750|  1.44141|  1.44151|  1.95859|  9.61861326265e-05|
  0.29375|  1.45364|  1.45374|  1.95432|  9.62082709912e-05|
  0.30000|  1.46584|  1.46593|  1.94820|  9.62305060239e-05|
  0.30625|  1.47799|  1.47809|  1.94022|  9.62528428836e-05|
  0.31250|  1.49009|  1.49018|  1.93041|  9.62752856764e-05|
  0.31875|  1.50212|  1.50221|  1.91880|  9.62978376762e-05|
  0.32500|  1.51407|  1.51417|  1.90540|  9.63205014852e-05|
  0.33125|  1.52593|  1.52603|  1.89025|  9.63432791543e-05|
  0.33750|  1.53769|  1.53779|  1.87338|  9.63661722710e-05|
  0.34375|  1.54934|  1.54944|  1.85482|  9.63891820243e-05|
  0.35000|  1.56088|  1.56097|  1.83461|  9.64123092575e-05|
  0.35625|  1.57227|  1.57237|  1.81280|  9.64355545015e-05|
  0.36250|  1.58353|  1.58363|  1.78942|  9.64589180075e-05|
  0.36875|  1.59464|  1.59474|  1.76453|  9.64823997662e-05|
  0.37500|  1.60559|  1.60568|  1.73818|  9.65059995290e-05|
  0.38125|  1.61636|  1.61646|  1.71042|  9.65297168232e-05|
  0.38750|  1.62696|  1.62706|  1.68130|  9.65535509616e-05|
  0.39375|  1.63738|  1.63747|  1.65088|  9.65775010588e-05|
  0.40000|  1.64760|  1.64769|  1.61923|  9.66015660384e-05|
  0.40625|  1.65761|  1.65771|  1.58640|  9.66257446438e-05|
  0.41250|  1.66742|  1.66752|  1.55246|  9.66500354491e-05|
  0.41875|  1.67702|  1.67711|  1.51747|  9.66744368669e-05|
  0.42500|  1.68639|  1.68649|  1.48151|  9.66989471569e-05|
  0.43125|  1.69553|  1.69563|  1.44463|  9.67235644371e-05|
  0.43750|  1.70445|  1.70454|  1.40692|  9.67482866905e-05|
  0.44375|  1.71312|  1.71322|  1.36844|  9.67731117760e-05|
  0.45000|  1.72155|  1.72165|  1.32927|  9.67980374376e-05|
  0.45625|  1.72973|  1.72983|  1.28947|  9.68230613103e-05|
  0.46250|  1.73767|  1.73776|  1.24914|  9.68481809336e-05|
  0.46875|  1.74535|  1.74544|  1.20833|  9.68733937585e-05|
  0.47500|  1.75277|  1.75287|  1.16713|  9.68986971550e-05|
  0.48125|  1.75994|  1.76003|  1.12562|  9.69240884232e-05|
  0.48750|  1.76684|  1.76694|  1.08388|  9.69495648027e-05|
  0.49375|  1.77348|  1.77358|  1.04198|  9.69751234783e-05|
  0.50000|  1.77987|  1.77996|  1.00000|  9.70007615930e-05|
  0.50625|  1.78598|  1.78608|  0.95801|  9.70264762523e-05|
  0.51250|  1.79184|  1.79194|  0.91611|  9.70522645363e-05|
  0.51875|  1.79744|  1.79753|  0.87437|  9.70781235052e-05|
  0.52500|  1.80277|  1.80287|  0.83286|  9.71040502102e-05|
  0.53125|  1.80785|  1.80794|  0.79166|  9.71300417005e-05|
  0.53750|  1.81267|  1.81276|  0.75086|  9.71560950300e-05|
  0.54375|  1.81723|  1.81733|  0.71052|  9.71822072677e-05|
  0.55000|  1.82155|  1.82165|  0.67073|  9.72083755029e-05|
  0.55625|  1.82562|  1.82572|  0.63155|  9.72345968546e-05|
  0.56250|  1.82945|  1.82954|  0.59307|  9.72608684777e-05|
  0.56875|  1.83303|  1.83313|  0.55536|  9.72871875704e-05|
  0.57500|  1.83639|  1.83649|  0.51849|  9.73135513804e-05|
  0.58125|  1.83952|  1.83961|  0.48252|  9.73399572153e-05|
  0.58750|  1.84242|  1.84252|  0.44753|  9.73664024442e-05|
  0.59375|  1.84511|  1.84521|  0.41359|  9.73928845067e-05|
  0.60000|  1.84760|  1.84769|  0.38076|  9.74194009207e-05|
  0.60625|  1.84988|  1.84997|  0.34911|  9.74459492873e-05|
  0.61250|  1.85196|  1.85206|  0.31869|  9.74725272953e-05|
  0.61875|  1.85386|  1.85396|  0.28958|  9.74991327294e-05|
  0.62500|  1.85558|  1.85568|  0.26181|  9.75257634745e-05|
