Variant: 7
Itr|    z(0)|    y(0)|               Delta
   1|  0.00000|-19.64735|  2.16473515225e+01|
   2|  3.00000| 44.88373|  4.28837259549e+01|
   3|  1.50000| 12.75100|  1.07509959089e+01|
   4|  0.75000| -3.38378|  5.38378180020e+00|
   5|  1.12500|  4.72242|  2.72241709577e+00|
   6|  0.93750|  0.65689|  1.34310827604e+00|
   7|  1.03125|  2.67944|  6.79439109591e-01|
   8|  0.98438|  1.66219|  3.37813459948e-01|
   9|  1.00781|  2.16942|  1.69420823621e-01|
  10|  0.99609|  1.91542|  8.45848040090e-02|
  11|  1.00195|  2.04232|  4.23242845364e-02|
  12|  0.99902|  1.97885|  2.11542245542e-02|
  13|  1.00049|  2.01058|  1.05790987711e-02|
  14|  0.99976|  1.99471|  5.28905361767e-03|
  15|  1.00012|  2.00264|  2.64465085900e-03|
  16|  0.99994|  1.99868|  1.32229443086e-03|
  17|  1.00003|  2.00066|  6.61154966347e-04|
  18|  0.99998|  1.99967|  3.30575546125e-04|
  19|  1.00001|  2.00017|  1.65288256932e-04|
  20|  1.00000|  1.99992|  8.26440078912e-05|

       x|    y(x)|     Ypr|    z(x)|             Delta|
  0.00000|  1.00000|  1.00000|  1.00000|  0.00000000000e+00|
  0.00625|  1.00625|  1.00625|  1.00237|  2.49904581473e-08|
  0.01250|  1.01254|  1.01254|  1.00926|  5.24062739871e-08|
  0.01875|  1.01888|  1.01888|  1.02032|  8.24491495077e-08|
  0.02500|  1.02530|  1.02530|  1.03521|  1.15333775863e-07|
  0.03125|  1.03183|  1.03183|  1.05359|  1.51288293004e-07|
  0.03750|  1.03848|  1.03848|  1.07517|  1.90554719337e-07|
  0.04375|  1.04527|  1.04527|  1.09963|  2.33389358062e-07|
  0.05000|  1.05223|  1.05223|  1.12667|  2.80063167768e-07|
  0.05625|  1.05936|  1.05936|  1.15602|  3.30862103493e-07|
  0.06250|  1.06668|  1.06668|  1.18739|  3.86087401605e-07|
  0.06875|  1.07421|  1.07421|  1.22054|  4.46055830494e-07|
  0.07500|  1.08194|  1.08194|  1.25520|  5.11099875311e-07|
  0.08125|  1.08990|  1.08990|  1.29112|  5.81567868752e-07|
  0.08750|  1.09808|  1.09808|  1.32809|  6.57824056116e-07|
  0.09375|  1.10650|  1.10650|  1.36586|  7.40248586206e-07|
  0.10000|  1.11516|  1.11516|  1.40423|  8.29237423394e-07|
  0.10625|  1.12406|  1.12406|  1.44299|  9.25202180424e-07|
  0.11250|  1.13320|  1.13320|  1.48194|  1.02856985973e-06|
  0.11875|  1.14258|  1.14258|  1.52090|  1.13978249483e-06|
  0.12500|  1.15221|  1.15221|  1.55969|  1.25929670580e-06|
  0.13125|  1.16208|  1.16208|  1.59814|  1.38758313328e-06|
  0.13750|  1.17218|  1.17218|  1.63608|  1.52512577434e-06|
  0.14375|  1.18253|  1.18253|  1.67337|  1.67242120730e-06|
  0.15000|  1.19310|  1.19310|  1.70986|  1.82997768849e-06|
  0.15625|  1.20390|  1.20390|  1.74540|  1.99831414083e-06|
  0.16250|  1.21491|  1.21492|  1.77989|  2.17795901869e-06|
  0.16875|  1.22614|  1.22614|  1.81318|  2.36944904297e-06|
  0.17500|  1.23758|  1.23758|  1.84518|  2.57332782461e-06|
  0.18125|  1.24920|  1.24921|  1.87577|  2.79014435245e-06|
  0.18750|  1.26102|  1.26102|  1.90486|  3.02045137013e-06|
  0.19375|  1.27301|  1.27301|  1.93235|  3.26480362700e-06|
  0.20000|  1.28517|  1.28517|  1.95816|  3.52375601076e-06|
  0.20625|  1.29749|  1.29749|  1.98223|  3.79786157612e-06|
  0.21250|  1.30994|  1.30995|  2.00446|  4.08766945470e-06|
  0.21875|  1.32254|  1.32254|  2.02481|  4.39372267169e-06|
  0.22500|  1.33525|  1.33526|  2.04322|  4.71655586853e-06|
  0.23125|  1.34807|  1.34808|  2.05964|  5.05669293482e-06|
  0.23750|  1.36099|  1.36100|  2.07402|  5.41464457071e-06|
  0.24375|  1.37399|  1.37400|  2.08632|  5.79090578201e-06|
  0.25000|  1.38707|  1.38707|  2.09652|  6.18595331936e-06|
  0.25625|  1.40020|  1.40020|  2.10458|  6.60024308541e-06|
  0.26250|  1.41337|  1.41338|  2.11049|  7.03420749892e-06|
  0.26875|  1.42657|  1.42658|  2.11424|  7.48825286578e-06|
  0.27500|  1.43979|  1.43980|  2.11581|  7.96275673576e-06|
  0.28125|  1.45302|  1.45302|  2.11521|  8.45806529015e-06|
  0.28750|  1.46623|  1.46624|  2.11242|  8.97449075432e-06|
  0.29375|  1.47942|  1.47943|  2.10747|  9.51230886859e-06|
  0.30000|  1.49257|  1.49258|  2.10035|  1.00717564269e-05|
  0.30625|  1.50567|  1.50568|  2.09109|  1.06530288970e-05|
  0.31250|  1.51870|  1.51871|  2.07971|  1.12562781533e-05|
  0.31875|  1.53166|  1.53167|  2.06622|  1.18816103236e-05|
  0.32500|  1.54452|  1.54454|  2.05067|  1.25290837814e-05|
  0.33125|  1.55729|  1.55730|  2.03308|  1.31987072858e-05|
  0.33750|  1.56993|  1.56995|  2.01350|  1.38904383011e-05|
  0.34375|  1.58245|  1.58247|  1.99195|  1.46041814995e-05|
